大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
招式学习器０５,招式學習器０５,放走对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。,趕走對手，強制讓後備寶可夢上場。對手為野生寶可夢時，戰鬥將直接結束。,放走對手，強制拉後備寶可夢上場。如果對手為野生寶可夢，戰鬥將直接結束。
招式学习器０６,招式學習器０６,让对手陷入剧毒状态。随着回合的推进，中毒伤害会增加。,讓對手陷入劇毒狀態。中毒傷害會隨著回合的進行而增加。,讓對手陷入劇毒狀態。隨著回合的推進，中毒傷害會增加。
招式学习器０７,招式學習器０７,在５回合内一直降冰雹，除冰属性的宝可梦以外，给予其他宝可梦伤害。,降下冰雹，在５回合內場上除了冰屬性以外的寶可夢都會受到傷害。,在５回合內一直降冰雹，除冰屬性的寶可夢以外，給予其他寶可夢傷害。
招式学习器０８,招式學習器０８,使出全身力气绷紧肌肉，从而提高自己的攻击和防御。,將力量集中於體內，增厚肌肉，提高自己的攻擊和防禦。,使出全身力氣繃緊肌肉，從而提高自己的攻擊和防禦。
招式学习器０９,招式學習器０９,将特殊的毒液泼向对手。对处于中毒状态的对手，威力会变成２倍。,將特殊的毒液潑向對手。攻擊陷入中毒狀態的對手時，威力會變成２倍。,將特殊的毒液潑向對手。對處於中毒狀態的對手，威力會變成２倍。
招式学习器１０,招式學習器１０,根据所使用招式的宝可梦，招式属性也会改变。,招式的屬性會隨著使用此招式的寶可夢而改變。,根據所使用招式的寶可夢，招式屬性也會改變。
招式学习器１１,招式學習器１１,在５回合内阳光变得强烈，从而提高火属性的招式威力。水属性的招式威力则降低。,讓陽光增強，在５回合內提高火屬性招式的威力。水屬性招式的威力會降低。,在５回合內陽光變得強烈，從而提高火屬性的招式威力。水屬性的招式威力則降低。
招式学习器１２,招式學習器１２,使对手愤怒。在３回合内让对手只能使出给予伤害的招式。,激怒對手。在３回合內讓對手只能使出給予傷害的招式。,使對手憤怒。在３回合內讓對手只能使出給予傷害的招式。
招式学习器１３,招式學習器１３,向对手发射冰冻光束进行攻击。有时会让对手陷入冰冻状态。,向對手發射冰凍光束進行攻擊。有時會讓對手陷入冰凍狀態。,向對手發射冰凍光束進行攻擊。有時會讓對手陷入冰凍狀態。
招式学习器１４,招式學習器１４,将猛烈的暴风雪刮向对手进行攻击。有时会让对手陷入冰冻状态。,將猛烈的暴風雪吹向對手進行攻擊。有時會讓對手陷入冰凍狀態。,將猛烈的暴風雪刮向對手進行攻擊。有時會讓對手陷入冰凍狀態。
招式学习器１５,招式學習器１５,向对手发射强烈的光线进行攻击。下一回合自己将无法动弹。,向對手發射強烈的光線進行攻擊。下一回合自己將無法動彈。,向對手發射強烈的光線進行攻擊。下一回合自己將無法動彈。
招式学习器１６,招式學習器１６,在５回合内使用神奇的墙，减弱从对手那受到的特殊攻击的伤害。,利用神奇的屏障，在５回合內減輕來自對手的特殊攻擊傷害。,在５回合內使用神奇的牆，減弱從對手那受到的特殊攻擊的傷害。
招式学习器１７,招式學習器１７,完全抵挡对手的攻击。连续使出则容易失败。,完全防住對手的所有攻擊。連續使用時容易失敗。,完全抵擋對手的攻擊。連續使出則容易失敗。
招式学习器１８,招式學習器１８,在５回合内一直降雨，从而提高水属性的招式威力。火属性的招式威力则降低。,降下大雨，在５回合內提高水屬性招式的威力。火屬性招式的威力會降低。,在５回合內一直降雨，從而提高水屬性的招式威力。火屬性的招式威力則降低。
招式学习器１９,招式學習器１９,降到地面，使身体休息。回复自己最大ＨＰ的一半。,降落到地面，讓身體休息。回復自己最大ＨＰ的一半。,降到地面，使身體休息。回復自己最大ＨＰ的一半。
招式学习器２０,招式學習器２０,在５回合内被神奇的力量守护，从而不会陷入异常状态。,在５回合內被神奇的力量守護，不會陷入異常狀態。,在５回合內被神奇的力量守護，從而不會陷入異常狀態。
招式学习器２１,招式學習器２１,为了发泄不满而全力进行攻击。亲密度越低，威力越大。,為了發洩不滿而全力進行攻擊。親密度越低，威力越大。,為了發泄不滿而全力進行攻擊。親密度越低，威力越大。
招式学习器２２,招式學習器２２,第１回合收集满满的日光，第２回合发射光束进行攻击。,使用後的第１回合吸收大量日光，並於第２回合發射光束進行攻擊。,第１回合收集滿滿的日光，第２回合發射光束進行攻擊。
招式学习器２３,招式學習器２３,扔石头或炮弹，攻击飞行的对手。对手会被击落，掉到地面。,向空中的對手投擲石頭或炮彈等物體進行攻擊。對手會被擊落，掉到地面。,扔石頭或炮彈，攻擊飛行的對手。對手會被擊落，掉到地面。
招式学习器２４,招式學習器２４,向对手发出强力电击进行攻击。有时会让对手陷入麻痹状态。,向對手放出強力電流進行攻擊。有時會讓對手陷入麻痺狀態。,向對手發出強力電擊進行攻擊。有時會讓對手陷入麻痺狀態。
招式学习器２５,招式學習器２５,向对手劈下暴雷进行攻击。有时会让对手陷入麻痹状态。,向對手劈下暴雷進行攻擊。有時會讓對手陷入麻痺狀態。,向對手劈下暴雷進行攻擊。有時會讓對手陷入麻痺狀態。
招式学习器２６,招式學習器２６,利用地震的冲击，攻击自己周围所有的宝可梦。,用地震的衝擊，攻擊自己周圍所有的寶可夢。,利用地震的衝擊，攻擊自己周圍所有的寶可夢。
招式学习器２７,招式學習器２７,为了训练家而全力攻击对手。亲密度越高，威力越大。,為了訓練家而全力攻擊對手。親密度越高，威力越大。,為了訓練家而全力攻擊對手。親密度越高，威力越大。
招式学习器２８,招式學習器２８,吸取血液攻击对手。可以回复给予对手伤害的一半ＨＰ。,吸取對手的血液進行攻擊。可以回復給予對手傷害的一半ＨＰ。,吸取血液攻擊對手。可以回復給予對手傷害的一半ＨＰ。
招式学习器２９,招式學習器２９,向对手发送强大的念力进行攻击。有时会降低对手的特防。,向對手發送強大的念力進行攻擊。有時會降低對手的特防。,向對手發送強大的念力進行攻擊。有時會降低對手的特防。
招式学习器３０,招式學習器３０,投掷一团黑影进行攻击。有时会降低对手的特防。,投擲一團黑影進行攻擊。有時會降低對手的特防。,投擲一團黑影進行攻擊。有時會降低對手的特防。
招式学习器３１,招式學習器３１,将手刀猛烈地挥下攻击对手。还可以破坏光墙和反射壁等。,猛烈地揮下手刀攻擊對手。還可以破壞光牆和反射壁等。,將手刀猛烈地揮下攻擊對手。還可以破壞光牆和反射壁等。
招式学习器３２,招式學習器３２,通过快速移动来制造分身，扰乱对手，从而提高闪避率。,利用快速移動製造出分身擾亂對手，提高自己的閃避率。,通過快速移動來製造分身，擾亂對手，從而提高閃避率。
招式学习器３３,招式學習器３３,在５回合内使用神奇的墙，减弱从对手那受到的物理攻击的伤害。,利用神奇的屏障，在５回合內減輕來自對手的物理攻擊傷害。,在５回合內使用神奇的牆，減弱從對手那受到的物理攻擊的傷害。
招式学习器３４,招式學習器３４,用污泥波攻击自己周围所有的宝可梦。有时会陷入中毒状态。,用污泥波攻擊自己周圍所有的寶可夢。有時會讓對手陷入中毒狀態。,用污泥波攻擊自己周圍所有的寶可夢。有時會陷入中毒狀態。
招式学习器３５,招式學習器３５,向对手发射烈焰进行攻击。有时会让对手陷入灼伤状态。,向對手發射強烈火焰進行攻擊。有時會讓對手陷入灼傷狀態。,向對手發射烈焰進行攻擊。有時會讓對手陷入灼傷狀態。
招式学习器３６,招式學習器３６,用污泥投掷对手进行攻击。有时会让对手陷入中毒状态。,向對手投擲污泥進行攻擊。有時會讓對手陷入中毒狀態。,用污泥投擲對手進行攻擊。有時會讓對手陷入中毒狀態。
招式学习器３７,招式學習器３７,在５回合内，除岩石、地面和钢属性以外的宝可梦，都会受到伤害。岩石属性的特防还会提高。,在５回合內給予岩石、地面和鋼屬性以外的寶可夢傷害。岩石屬性寶可夢的特防會提高。,在５回合內，除岩石、地面和鋼屬性以外的寶可夢，都會受到傷害。岩石屬性的特防還會提高。
招式学习器３８,招式學習器３８,用大字的火焰烧尽对手。有时会让对手陷入灼伤状态。,用大字形狀的火焰燒盡對手。有時會讓對手陷入灼傷狀態。,用大字的火焰燒盡對手。有時會讓對手陷入灼傷狀態。
招式学习器３９,招式學習器３９,投掷岩石进行攻击。封住对手的行动，从而降低速度。,投擲岩石進行攻擊。封住對手的行動，進而降低其速度。,投擲岩石進行攻擊。封住對手的行動，從而降低速度。
招式学习器４０,招式學習器４０,以敏捷的动作戏弄对手后进行切斩。攻击必定会命中。,以敏捷的動作戲弄對手後進行切斬。攻擊必定會命中。,以敏捷的動作戲弄對手後進行切斬。攻擊必定會命中。
招式学习器４１,招式學習器４１,向对手无理取闹，令其不能连续２次使出相同招式。,無理取鬧，讓對手不能連續２次使出相同招式。,向對手無理取鬧，令其不能連續２次使出相同招式。
招式学习器４２,招式學習器４２,当自己处于中毒、麻痹、灼伤状态时，向对手使出此招式的话，威力会变成２倍。,當自己陷入中毒、麻痺、灼傷等狀態時，向對手使用此招式，威力會變成２倍。,當自己處於中毒、麻痺、灼傷狀態時，向對手使出此招式的話，威力會變成２倍。
招式学习器４３,招式學習器４３,将火焰围绕身体攻击对手。积蓄力量并提高自己的速度。,讓火焰圍繞全身後攻擊對手。同時蓄積力量來提高自己的速度。,將火焰圍繞身體攻擊對手。積蓄力量並提高自己的速度。
招式学习器４４,招式學習器４４,连续睡上２回合。回复自己的全部ＨＰ以及治愈所有异常状态。,連續睡２回合。回復自己的全部ＨＰ以及治癒所有異常狀態。,連續睡上２回合。回復自己的全部ＨＰ以及治癒所有異常狀態。
招式学习器４５,招式學習器４５,♂诱惑♀或♀诱惑♂，让对手着迷。对手将很难使出招式。,♂誘惑♀而♀誘惑♂，讓對手著迷。對手將難以使用招式。,♂誘惑♀或♀誘惑♂，讓對手著迷。對手將很難使出招式。
招式学习器４６,招式學習器４６,攻击的同时盗取道具。当自己携带道具时，不会去盗取。,在攻擊的同時偷取道具。當寶可夢自己有攜帶道具時，則無法偷取。,攻擊的同時盜取道具。當自己攜帶道具時，不會去盜取。
招式学习器４７,招式學習器４７,以敏捷的动作瞄准对手的脚进行攻击。降低对手的速度。,瞄準對手的腳，以敏捷的動作進行攻擊。可降低對手的速度。,以敏捷的動作瞄準對手的腳進行攻擊。降低對手的速度。
招式学习器４８,招式學習器４８,用歌声攻击对手。同伴还可以接着使出轮唱招式，威力也会提高。,用歌聲攻擊對手。大家一起輪唱便可以接連使出，威力也會提高。,用歌聲攻擊對手。夥伴還可以接著使出輪唱招式，威力也會提高。
